2019-02-05 17:10:07,890 | APISample | INFO | **************************************
2019-02-05 17:10:07,891 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:10:07,893 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:10:07,894 | APISample | INFO | Uploading files
2019-02-05 17:10:07,896 | APISample | ERROR | Cannot find directory_path /Downloads/CA/.
2019-02-05 17:10:07,897 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:10:07,897 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:13:31,403 | APISample | INFO | **************************************
2019-02-05 17:13:31,403 | APISample | INFO | **************************************
2019-02-05 17:13:31,404 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:13:31,404 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:13:31,407 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:13:31,407 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:13:31,408 | APISample | INFO | Uploading files
2019-02-05 17:13:31,408 | APISample | INFO | Uploading files
2019-02-05 17:13:31,411 | APISample | ERROR | Cannot find directory_path /CA/.
2019-02-05 17:13:31,411 | APISample | ERROR | Cannot find directory_path /CA/.
2019-02-05 17:13:31,412 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:13:31,412 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:13:31,413 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:13:31,413 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:14:01,953 | APISample | INFO | **************************************
2019-02-05 17:14:01,953 | APISample | INFO | **************************************
2019-02-05 17:14:01,953 | APISample | INFO | **************************************
2019-02-05 17:14:01,955 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:14:01,955 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:14:01,955 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:14:01,958 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:14:01,958 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:14:01,958 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:14:01,961 | APISample | INFO | Uploading files
2019-02-05 17:14:01,961 | APISample | INFO | Uploading files
2019-02-05 17:14:01,961 | APISample | INFO | Uploading files
2019-02-05 17:14:02,005 | APISample | ERROR | Cannot find directory_path /Home/CA/.
2019-02-05 17:14:02,005 | APISample | ERROR | Cannot find directory_path /Home/CA/.
2019-02-05 17:14:02,005 | APISample | ERROR | Cannot find directory_path /Home/CA/.
2019-02-05 17:14:02,006 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:14:02,006 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:14:02,006 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:14:02,008 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:14:02,008 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:14:02,008 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:06,946 | APISample | INFO | **************************************
2019-02-05 17:15:06,946 | APISample | INFO | **************************************
2019-02-05 17:15:06,946 | APISample | INFO | **************************************
2019-02-05 17:15:06,946 | APISample | INFO | **************************************
2019-02-05 17:15:06,949 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:06,949 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:06,949 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:06,949 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:06,952 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:06,952 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:06,952 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:06,952 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:06,955 | APISample | INFO | Uploading files
2019-02-05 17:15:06,955 | APISample | INFO | Uploading files
2019-02-05 17:15:06,955 | APISample | INFO | Uploading files
2019-02-05 17:15:06,955 | APISample | INFO | Uploading files
2019-02-05 17:15:06,958 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:06,958 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:06,958 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:06,958 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:06,960 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:06,960 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:06,960 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:06,960 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:06,963 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:06,963 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:06,963 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:06,963 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:14,619 | APISample | INFO | **************************************
2019-02-05 17:15:14,619 | APISample | INFO | **************************************
2019-02-05 17:15:14,619 | APISample | INFO | **************************************
2019-02-05 17:15:14,619 | APISample | INFO | **************************************
2019-02-05 17:15:14,619 | APISample | INFO | **************************************
2019-02-05 17:15:14,621 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:14,621 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:14,621 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:14,621 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:14,621 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:14,626 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:14,626 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:14,626 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:14,626 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:14,626 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:14,629 | APISample | INFO | Uploading files
2019-02-05 17:15:14,629 | APISample | INFO | Uploading files
2019-02-05 17:15:14,629 | APISample | INFO | Uploading files
2019-02-05 17:15:14,629 | APISample | INFO | Uploading files
2019-02-05 17:15:14,629 | APISample | INFO | Uploading files
2019-02-05 17:15:14,634 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:14,634 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:14,634 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:14,634 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:14,634 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:14,637 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:14,637 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:14,637 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:14,637 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:14,637 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:14,640 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:14,640 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:14,640 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:14,640 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:14,640 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:57,245 | APISample | INFO | **************************************
2019-02-05 17:15:57,245 | APISample | INFO | **************************************
2019-02-05 17:15:57,245 | APISample | INFO | **************************************
2019-02-05 17:15:57,245 | APISample | INFO | **************************************
2019-02-05 17:15:57,245 | APISample | INFO | **************************************
2019-02-05 17:15:57,245 | APISample | INFO | **************************************
2019-02-05 17:15:57,250 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:57,250 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:57,250 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:57,250 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:57,250 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:57,250 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:15:57,254 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:57,254 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:57,254 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:57,254 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:57,254 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:57,254 | APISample | INFO | Logs can be found in the current directory, processing.log
2019-02-05 17:15:57,258 | APISample | INFO | Uploading files
2019-02-05 17:15:57,258 | APISample | INFO | Uploading files
2019-02-05 17:15:57,258 | APISample | INFO | Uploading files
2019-02-05 17:15:57,258 | APISample | INFO | Uploading files
2019-02-05 17:15:57,258 | APISample | INFO | Uploading files
2019-02-05 17:15:57,258 | APISample | INFO | Uploading files
2019-02-05 17:15:57,262 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:57,262 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:57,262 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:57,262 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:57,262 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:57,262 | APISample | ERROR | Cannot find directory_path ~/CA/.
2019-02-05 17:15:57,266 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:57,266 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:57,266 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:57,266 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:57,266 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:57,266 | APISample | INFO | Check your configuration file (config.json) for correct format and valid parameters
2019-02-05 17:15:57,269 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:57,269 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:57,269 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:57,269 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:57,269 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:15:57,269 | APISample | INFO | API Sample tool reupload ended. Processing time took 0 seconds
2019-02-05 17:16:26,942 | APISample | INFO | **************************************
2019-02-05 17:16:26,942 | APISample | INFO | **************************************
2019-02-05 17:16:26,942 | APISample | INFO | **************************************
2019-02-05 17:16:26,942 | APISample | INFO | **************************************
2019-02-05 17:16:26,942 | APISample | INFO | **************************************
2019-02-05 17:16:26,942 | APISample | INFO | **************************************
2019-02-05 17:16:26,942 | APISample | INFO | **************************************
2019-02-05 17:16:26,948 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:16:26,948 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:16:26,948 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:16:26,948 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:16:26,948 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:16:26,948 | APISample | INFO | API Sample tool reupload starting...
2019-02-05 17:16:26,948 | APISample | INFO | API Sample tool reupload starting...
